genes	counts
geneID01675	306
geneID01676	1
geneID01677	360
geneID01678	346
geneID01679	5
geneID01680	313
geneID01681	66
geneID01682	0
geneID01683	1
geneID01684	227
geneID01685	211
geneID01686	163
geneID01687	500
geneID01688	21
geneID01689	28
geneID01690	44
geneID01691	99
geneID01692	1
geneID01693	0
geneID01694	0
geneID01695	553
geneID01696	854
geneID01697	450
geneID01698	595
geneID01699	0
geneID01700	1
geneID01701	94
geneID01702	718
geneID01703	26
geneID01704	0
geneID01705	0
geneID01706	9
geneID01707	286
geneID01708	0
geneID01709	0
geneID01710	0
geneID01711	0
geneID01712	0
geneID01713	100
geneID01714	213
geneID01715	9
geneID01716	217
geneID01717	124
geneID01718	26
geneID01719	356
geneID01720	675
geneID01721	133
geneID01722	450
geneID01723	1023
geneID01724	157
geneID01725	4
geneID01726	0
geneID01727	78
geneID01728	7
geneID01729	5
geneID01730	111
geneID01731	662
geneID01732	588
geneID01733	2213
geneID01734	69
